06-May,MI,SRH
07-May,DC,RR
08-May,SRH,LSG
09-May,PBKS,RCB
10-May,GT,CSK
11-May,KKR,MI
12-May,CSK,RR
12-May,RCB,DC
13-May,GT,KKR
14-May,DC,LSG
15-May,RR,PBKS
16-May,SRH,GT
17-May,MI,LSG
18-May,RCB,CSK
19-May,SRH,PBKS
19-May,RR,KKR
